exam,subject,year,text,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
JAMB,Mathematics,1983,"If M represents the median and D the mode of the
measurements 5, 9, 3, 5, 8 then (M,D) is","(6,5)","(5,8)","(5,7)","(5,5)","(7,5)",,
JAMB,Mathematics,1983,"A construction company is owned by two partners X
and Y and it is agreed that their profit will be divided in
the ratio 4:5. at the end of the year. Y received #5,000
more than x. what is the total profit of the company for
the year?","#20,000.00","P’0#25,000.00","#30,000.00","#15,000.003","#45,000.00",,
JAMB,Mathematics,1983,"Given a regular hexagon, calculate each interior angle
of the hexagon.",600,300,1200,450,1350,,
JAMB,Mathematics,1983,"Solve the following equations
4x – 3 = 3x + y = 2y + 5x – 12","4x = 5, y = 2","x = 2, y = 5","x = -2, y = -5","x = 5, y = -2","x = -5, y = -2",,
JAMB,Mathematics,1983,"If x = 1 is root of the equation
x3 – 2x2 – 5x + 6, find the other roots",-3 and 2,–2 and 2,3 and –2,1 and 3,–3 and 1,,
JAMB,Mathematics,1983,"If x is jointly proportional to the cube of y and the
fourth power of z. In what ratio is x increased or
decreased when y is halved and z is doubled?",4:1 increase,2:1 increase,1:4 decrease,1: 1 no change,3: 4 decrease,,
JAMB,Mathematics,1983,"P
Q",,,,,,,
JAMB,Mathematics,1983,"Given that cos z = L, where z is an acute angle find an
expression for Co +Z - cosecz
sec Z  + tan z",l - L,L2-√1−L2,"-L-√1−L
1+L
L2+L-1
(C1+L) +√1−L2",√L−1.,"L-(L2-1)
(L1+L2) +√1−L2             1+ √1 - L2+ √1 - L2",,
JAMB,Mathematics,1983,"If 0.0000152 x 0.00042 = A x 108, where
1 £ A < 10, find A and","A = 9, B = 6`.38","A = 6.38, B = -9","A = 6.38, B = 9","A = 6.38, B = -1","A = 6.38, B = 1",,
JAMB,Mathematics,1983,"If x + 2 and x – 1 are factors of the expressions lx +
2kx2 + 24, find the values of l and k","l = -6, k = -9","l = -2, k = 1","l = -2, k = -1","l = 0, k = 1","l = 6, k = 0",,
JAMB,Mathematics,1983,"Make T the subject of the equation
av    =  3     2V   +  T
1- V
a
2T",3av/(1-v),2v(1-v)2 - a2v2/2a2v2 - (1-V)2,2v(1 - v)2  + a3v2/ 2a2v2 + (1 - v)2,2v(1 - v)2 - a4v3/2a3v3 - (1 - v)3,2v(1-v)3 - a4v3/2a3v3 + (1-v)3,,
JAMB,Mathematics,1983,"Additional
Mathematics
Biology
(2 -24)
x
O
(3 -18)
x
O
x
O
Geography
(2 +12)
x
O
History
( +12)
x
O
French",,,,,,,
JAMB,Mathematics,1983,The value of (0.303)3 – (0.02)3 is,0.019,0.0019,0.00019,0.000019,0.000035,,
JAMB,Mathematics,1983,"y varies partly as the square of x and y partly as the
inverse of the square root of x. write down the
expression for y if y = 2 when x = 1 and y = 6 when x =
4",x/ (x - 3)(x + 7),(x + 3) (x + 7)/x,"x/(x - 3) (x -
7)",x/(x + 3) (x + 7),x/(x + 4) (x + 7),,
JAMB,Mathematics,1983,,0.019,0.0019,0.00019,0.000019,0.000035,,
JAMB,Mathematics,1983,"The lengths of the sides of a right-angled triangle at (3x
+ 1)cm, (3x - 1)cm and x cm.",2,6,18,12,0,,
JAMB,Mathematics,1983,"The scores of a set of a final year students in the first
semester
examination
in
a
paper
are
41,29,55,21,47,70,70,40,43,56,73,23,50,50. find the median
of the scores.",47,481/2,50,48,49,,
JAMB,Mathematics,1983,,0.019,0.0019,0.00019,0.000019,0.000035,,
JAMB,Mathematics,1983,,,,,,,,
