exam,subject,year,text,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
JAMB,Chemistry,1983,"X is crystalline salt of sodium. Solution of X in water turns litmus red produces a gas which turns lime water milky when added to sodium carbonate. With barium chloride solution, X gives a white precipitate which is insoluble in dilute hydrochloric acid. X is","Na2,CO3",NaHCO3 C NaHSO4 D Na2SO3,,,Na2SO4,,
JAMB,Chemistry,1983,The alkanol obtained from the production of soap is,ethanol,glycerol,methanol,propanol,glycol,,
JAMB,Chemistry,1983,The flame used by welders in cotton metals is,butane gas flame,acetylene flame,kerosene flame,oxy-acetylene flame,oxygen flame,,
JAMB,Chemistry,1983,Consecutive members of an alkane homologous series differ by,CH,CH2,CH3,CnHn,CnH2n+2,,
JAMB,Chemistry,1983,"If an element has the lectronic configuration 1s2 2s2 2p6 3s2 3p2, it is",a metal,an alkaline earth metal,an s-block element,a p-block element,a transition element,,
JAMB,Chemistry,1983,"Some copper (11) sulphate pentahydrate (CuSO45H2O), was heated at 120oC with the following results: Wt of crucible = 10.00 g; Wt of crucible + CuSO45H2O= 14.98g; Wt of crucible + residue = 13.54g. How many molecules of water of crystallization were lost? [H=1, Cu =63.5, O=16, S= 32]",1,2,3,4,5,,
JAMB,Chemistry,1983,The three-dimensional shape of methane is,hexagonal,tigonal,linear,tertrahedral,"cubical Question 8-10 are based on the following An unknown organic compound X has a relative molecular mass of 180. It is a colourless crystalline solid, readily soluble in water. X contains the element C, H, and O in the atomic ratio 1:2:1. The compound has a sweet taste and melts on heating. In the presence of yeast and in the absence of air X is converted to compound Y in the absence of air, X is converted to compound Y and colourless gas. Compound Y reacts with sodium metal to produce a gas Z which gives a ‘pop’ sound with a glowing splint. Y also reacts with ethanoic acid to give a sweet smelling compound W.",,
JAMB,Chemistry,1983,Compound W is,a soap,an oil,an alkane,an ester,sucrose,,
JAMB,Chemistry,1983,The molecular formula of X is,C12H22O11,C6H12O6,C3H6O3,C7H14O7,C4H3O4,,
JAMB,Chemistry,1983,reaction of X with yeast forms the basic of the,plastic industry,textile industry,brewing industry,soap industry,dyeing industry.,,
JAMB,Chemistry,1983,"A mixture of common salt, ammonium chloride and barium sulphate can best be separated by",addition of water followed by filtration then sublimation,addition of water followed by sublimation then filtration,sublimation followed by addition of water then filtration,fractional distillation,fractional crystallization.,,
JAMB,Chemistry,1983,"Which of the following relationships between the pressure P, the volume V and the temperature T, represents and ideal gas behaviors?",P & VT,P & T/V,PT & V,PV & VT,P & V/T,,
JAMB,Chemistry,1983,In the above experiment (fig1) the litmus paper will initially,be bleached,turn green,turn red,turn blue,turn black Chemistry 1983,,
JAMB,Chemistry,1983,The colour imparted to a flame by calcium ion is,green,blue,brick-red,yellow,lilac,,
JAMB,Chemistry,1983,In the reaction M + N P; H = + Q kJ. Which of the following would increase the concentration of the product?,Decreasing the concentration of N,Increasing the concentration of P,Adding a suitable catalyst.,Decreasing the temperature,,,
JAMB,Chemistry,1983,FeSO4+ H2S FeS + H2SO4 3 FeCl + CI2 2FeCL3 4 FeCl3 + SnCI2 2FeCL2 + SnCI4,1 only,2 only,3 only,1 and 3,2 and 4.,,
JAMB,Chemistry,1983,"Fig.2 In the above experiment (fig.2), a current was passed for 10 minutes and 0.63 g of copper was found to be deposited on the cathode of CuSO4 cells. The weight of AgNO3 cell during the same period would be [Cu = 63, Ag –108]",0.54 g,1.08 g,1.62 g,2.16 g,3.24 g,,
JAMB,Chemistry,1983,"In the reaction Fe + Cu2+ Fe2+ + Cu, iron displaces copper ions to form copper. This is due to the fact that",iron is in the metallic form while dthe copper is in the ionic form,the atomic weight of copper is greater than that of ion,copper metal has more electrons than ion metal,iron is an inert metal,iron is higher in the electrochemical series than copper.,,
JAMB,Chemistry,1983,C2H5 C =CH2 CH3 The correct name of the compound with the above structural formula is,2-methylbut-1-ene,2-methylbut-2-ene,2-methylbut-1-ene,2-ethyprop-1-ene,2-ethylprop-2-ene,,
JAMB,Chemistry,1983,How many isomeric forms are there for the molecular formula C3H6Br2?,1,2,3,4,5,,
JAMB,Chemistry,1983,A piece of burning sulphur will continue to burn in a gas jar of oxygen to give misty fumes which readily dissolve in water. The resulting liquid is,sulphur (1V) trioxide,Tetraoxosulphate acid (V1),Trioxosulphate (1V) acid,Dioxosulphate (11) acid,Hydrogen sulphide,,
JAMB,Chemistry,1983,Sodium decahydrate (Na2SO4 10H2O) an exposure to air loses all its water of crystallization. The process of loss is known as,Efflorescence,Hygroscopy,Deliquescence,Effervescence,Dehydration,,
JAMB,Chemistry,1983,Which of the following happens during the electrolysis of molten sodium chloride?,Sodium ion loses an electron,Chlorine atom gains an electron,Chloride ion gains an electron,Sodium ion is oxidized,Chloride ion is oxidized.,,
JAMB,Chemistry,1983,Crude petroleum pollutant usually seen on some Nigeria creeks and waterways can be dispersed or removed by.,heating the affected parts order to boil off the petroleum,mechanically stirring to dissolve the petroleum in water,pouring organic solvents to dissolve the petroleum,spraying the water with detergents,cooling to freeze out the petroleum.,,
