exam,subject,year,text,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
JAMB,Physics,1983,"In a resonance tube experiment, a tube of fixed
length in closed at one end and several turning
forks of increasing frequency used to obtain
resonance at the open end. If the turning fork with
the lowest frequency which gave resonance had a
frequency ƒ1 and the next turning fork to give
resonance had a frequency ƒ2, find the ratio ƒ2/ ƒ1.",8,3,2,½,1/3,,
JAMB,Physics,1983,Which of the following is NOT a vector quantity,Force,Altitude,Weight,Displacement,Acceleration.,,
JAMB,Physics,1983,"P1 P3 
O 
O3 O2 P2 Fig. 1
Consider the three forces acting at O and in
equilibrium as shown in Fig. 1. Which of the
following equation is/are CORRECT?
I.
P1 cos 01 = P1 cos O2
II.
P3 = P1 cos O1 + P2 cos O2
III.
P1 sin O1 = P2 sin O2",I only,II only,III only,II and III only,I and III only,,
JAMB,Physics,1983,"Which of the following statements about friction
it NOT correct?","The force of kinetic friction is less than
the force of static friction.","The force of kinetic friction between two
surfaces is independent of the areas in
contact provided the normal reaction is
unchanged.","The force of rolling friction between two
surfaces is less than the force of sliding
friction.","The angle of friction is the angle between
the normal reaction and the force friction.",Friction may be reduced by lubrication.,,
JAMB,Physics,1983,"Cord
Pull Brick Fig. 2 A brick at rest on a horizontal table is pulled by a
horizontal cord, as shown in Fig. 2. The force of
friction on the brick","Increase if the pull increases but the brick
does not move.",Is directly horizontal to the right,"Decreases if an identical brick is placed
on the first.","Is zero if the brick is pulled hard enough
to make it slide.",Change if the brick is turned on its side.,,
JAMB,Physics,1983,"The force with which an object is attracted to the
earth is called its",Acceleration,Mass,Gravity,Impulse,Weight.,,
JAMB,Physics,1983,"The refractive index of a liquid is 1.5. If the velocity
of light in vacuum is 3.0 x 108m s-1, the velocity of
light in the liquid is",1.5 x 103m s-1,2.0 x 103m s-1,3.0 x 103m s-1,4.5 x 103m s-1,9.0 x 103m s-1,,
JAMB,Physics,1983,"If the relative density of a metal is 19, what will be
the mass of 20cm3 of the metal when immersed in
water?",380g,400g,360g,39g,180g,,
JAMB,Physics,1983,"Which of the following statements about liquid
pressure is NOT correct? The pressure","At a point in a liquid is proportional to
the depth.","At any point in a liquid is the same at the
same level.","Is exerted equally in all directions at any
point.","Of a liquid at any point on the wall of its container acts in a direction
perpendicular to the wall.","At a particular depth depends on the
shape of the vessel.",,
JAMB,Physics,1983,"A ship traveling towards a cliff receives the echo
of its whistle after 3.5 seconds. A short while later,
it receives the echo after 2.5 seconds. If the speed
of sound in air under the prevailing conditions is
250m s-1, how much closer is the ship to the cliff?",10 m,125 m,175 m,350 m,"1,000 m",,
JAMB,Physics,1983,"Which of the following is NOT correct?
I.
The pitch of a sound note depends on
the frequency of vibrations.
II.
The intensity of a sound note is
proportional to the amplitude of
vibrations.
III.
Beats are produces by two sources of
sound because one wave is travelling
faster than the other.
IV.
When two sources of sound of
frequencies 500 Hz and 502 Hz are
sounded together, a neat frequency of 2
Hz is observed.
V.
The first harmonic of a note has double
the frequency of the fundamental note.",I and II,II and III,I and II,III and IV,IV and V.,,
JAMB,Physics,1983,"Which of the following statements about defects
of vision is/ are CORRECT
I.
For a long sighted person, close objects
appear blurred.
II.
For a sort sighted person, distant objects
appear blurred.
III.
Short sight is corrected by using a pair of
converging lenses.",I onl,II only,I and II onl,II and III only,"I, II and III.",,
JAMB,Physics,1983,"The range of wavelengths of the visible spectrum
is 400nm – 700nm. The wavelength of gamma rays
is",Longer than 700nm,"Shorter than 700nm but longer than
400nm",550nm,Shorter than 400nm,Infinite,,
JAMB,Physics,1983,"If the pressure on 1000cm3 of an ideal gas is
doubled while its Kelvin temperature is halved,
then the new volume of the gas will become",25 cm3,50 cm3,100 cm3,200 cm3,400 cm3,,
JAMB,Physics,1983,"A train has an initial velocity of 44m/s and an
acceleration of –4m/s2. Its velocity after 10 seconds
is",2m/s,4m/s,8m/s,12m/s,16m/s.,,
JAMB,Physics,1983,"Which of the following conditions are necessary
and sufficient for total internal reflection to take
place at the boundary between two optical media?
I
Light is passing from optically denser
medium to optically less dense medium.
II
Light is passing from optically less dense
medium to optically denser medium.
III
Angle of incidence is greater.
IV
Angle of incidence if lesser.",I and II only,II and II only,III and IV only,I and III only,II and Iv only,,
JAMB,Physics,1983,"A man of mass 50kg ascends a flight of stairs 5m
high in 5 seconds. If acceleration due to gravity is
10m s-2, the power expended is",100W,300W,250W,400W,500W,,
JAMB,Physics,1983,"Which of the following arrangements in the
sequence shown can be used to obtain a pure
spectrum of white light?","Source, slit, converging lens, prism,
converging lens, screen.","Source, slit, diverging lens, screen.","Source, converging lens, prism, diverging
lens, screen.","Source, slit, prism, diverging lens, screen",,,
JAMB,Physics,1983,"10V I1 2Ù I2 20V 2Ù I3 1Ù 20V I4 2Ù I5 1Ù
Fig. 3.
The diagrams in Fig.3 show three circuits. The
internal resistances of the batteries are negligible.
Which of the currents is the largest?",I1,I2,I3,I4,I5,,
JAMB,Physics,1983,"A milliameter with full scale deflection of 100mA
has an internal resistance of 5 ohms. It would be
converted to an ammeter with a full scale deflection
of 1A by connecting a resistance of",5/99 ohm in series with it,5/99 ohm in parallel with it,99/5 ohm in parallel with it,99/5 ohm in series with it,2 ohms in series with it,,
JAMB,Physics,1983,"It is usual to transmit electric power at high voltage
and low current. Which of the following are
possible advantages of the method.
I
Heat losses are reduced because the
currents are small.
II
Thin wires can be used because small
currents are flowing.
III
The power can flow faster because the
voltage is high.",I only,I and II only,II and III only,I and III only,"I, II and III.",,
JAMB,Physics,1983,"The linear expansivity if brass is 2 x 10-1 0C-1. If the
volume of a piece of brass is 100cm3 at 00C, what
will be its volume at 1000C?",10.02 cm3,10.04 cm3,10.06 cm3,10.20 cm3,102.00 cm3,,
JAMB,Physics,1983,"A 24V potential difference is applied across a
parallel combination of four 6-ohm resistors. The currents in each resistor is",1 A,4 A,16 A,18 A,36 A,,
JAMB,Physics,1983,"In the circuit shown in Fig. 4, T is a resistor whose
resistance falls as temperature increases. L1 and L2
are lamps. Assuming the cell has negligible internal
resistance, as the temperature of T increases","L1 becomes brighter, L2 becomes dimmer.",L1 and L2 becomes brighter.,"L1 becomes dimmer, L2 becomes brighter.","L1 becomes brighter, L2 does not change.","L2 becomes dimmer, L1 does not change. 1L
T T L2 Fig. 4.",,
JAMB,Physics,1983,"Which of the diagrams in Fig. 5 gives the correct
resultant R of two vectors P and
Q?
P P
R I II R
Q Q P P
R III IV
R P
R fig 5. V
Q",I,II,III,IV,V,,
JAMB,Physics,1983,"The electrochemical equivalent of a metal is 0.126
x 10-6 kg/C. The mass of the metal that a current of
5A deposit from a suitable bath in 1 hour is",0.0378 x 10-3kg,0.227 x 10-3kg,0.378 x 10-3kg,0.595 x 10-3kg,2.268 x 10-3kg,,
JAMB,Physics,1983,"Ripples on water are similar to light waves in that
they both",Have the same wavelength,Are longitudinal,Cannot be reflected,Travel at the same speed,Can be refracted and diffracted.,,
JAMB,Physics,1983,"A piece of wood is floating on water. The forces
acting on the wood are",Upthrust and reaction.,Weight and reaction,Weight and upthrust,Upthrsut and viscosity,Weight and viscosity.,,
JAMB,Physics,1983,"Of the following derived units, the one that is not
a unit of power is",Joule/second,Ampere/volt,Amphere2volt,Ohm2/volt,Volts2/ohm.,,
JAMB,Physics,1983,"A force of 16N applied to a 4.0kg block that is at
rest on a smooth horizontal surface. What is the
velocity of the block at t = 5 seconds?",4 m/s,10 m/s,20 m/s,50 m/s,80 m/s,,
JAMB,Physics,1983,"1,000 identical drops of oil of density 5000kg/m3 have a total mass of 5 x 10-4kg. One of the drops
forms a thin film of area 0.5m2 on water. The
thickness of the film is",2 x 10-8m,2 x 10-9m,2 x 10-7m,3 x 10-9m,2.8 x 10-8m.,,
JAMB,Physics,1983,"The total length of a spring when a mass of 200g is
hung from its end is 14cm, while its total length is
16cm when a mass of 30kg is hung from the same end. Calculate the unstretched length of the spring
assuming Hooke’s law is obeyed.",9.33 cm,10.00 cm,10.66 cm,12.00 cm,15.00 cm,,
JAMB,Physics,1983,"Each of the diagrams in Fig. 6 represents two
current carrying conductors situated close to each
other. In which two diagrams are the forces
between the two wires attractive?
I II III IV V Fig .6",I and V,I and III,II and IV,II and V,III and IV,,
JAMB,Physics,1983,"Which of the following statements is CORRECT?
I
The mass number is equal to the total
number of protrons and electrons in an
atom.
II
The atomic number is equal to the number
of protrons in an atom III
The number of electrons in an atom is
equal to the total number of protons and
neutrons in the nucleus.",I only,II only,III only,I and II only,II and III only.,,
JAMB,Physics,1983,"A short response time is obtained in a liquid-in-
glass thermometer when the",Bulb is large and thick-walled.,Stem is long and thin.,Bulb is small and thick-walled.,Bulb is high density and the bore is large.,"Bulb is thin-walled and the liquid is a good
conductor of heat.",,
JAMB,Physics,1983,"A machine has a velocity ratio of 5. It requires a
50kg weight to overcome a 200kg weight. The
efficiency is",4%,5%,40%,50%,80%,,
JAMB,Physics,1983,"If the normal atmospheric pressure in a laboratory
supports a column of mercury 0.76m high and the
relative density of mercury is 13.8, then the height
of water column which atmospheric pressure will
support in the same laboratory at the same time is",0 m,10 m,13 m,14 m,18 m,,
JAMB,Physics,1983,"An electric current of 3A flowing through an electric
heating element of resistance 20 embedded in
1,000g of an oil raises the temperature of the oil by
100C in 10 seconds, then the specific heat capacity
of the oil is",1.8 J/g,0.6 J/g,0.18 J/g 0C,1.8 J/g 0C,0.06 J/g 0C,,
JAMB,Physics,1983,"The difference of potential between the terminals
of a cell is 2.2 volts. When a 4 ohm resistor is
connected across the terminals of this cell, the
potential difference is 2 volts. What is the internal
resistance of the cell?",0.10 ohms,0.25 ohms,0.40 ohms,2.50 ohms,4.00 ohms.,,
JAMB,Physics,1983,"Q
I P R Fig. 7
In Fig. 7 above, QR is a vertical conductor and the
current I flows from R to Q. P is a point on the
horizontal plane and it to the South of the wire.
The direction of the magnetic filed at P due to the
current is",Upward,North,South,West,East,,
